"Detail Url","File 1","Confidence","File 2","Confidence","Number of Matched Lines"
"http://moss.stanford.edu/results/781444417/match109.html","./data/WilliamQLiu_292ef433e312ac69ef14.html","9","./data/WilliamQLiu_faaac1a0ecbc124171cf.html","4","8"
"http://moss.stanford.edu/results/781444417/match110.html","./data/eesur_c6a7de5530c624567250.html","6","./data/juliettepardue_d162128e10630de5b07a.html","53","6"
"http://moss.stanford.edu/results/781444417/match111.html","./data/john-guerra_14c943d8f198d9f3fef2.html","8","./data/milroc_5480231.html","0","7"
"http://moss.stanford.edu/results/781444417/match112.html","./data/jkutianski_0601ad01f560d49a5967.html","0","./data/wboykinm_8a87b89f3600a7175f27.html","19","4"
"http://moss.stanford.edu/results/781444417/match113.html","./data/cool-Blue_04ebde07750d6fdd5d1a.html","0","./data/john-guerra_14c943d8f198d9f3fef2.html","8","7"
"http://moss.stanford.edu/results/781444417/match114.html","./data/GerHobbelt_3637711.html","0","./data/john-guerra_14c943d8f198d9f3fef2.html","8","7"
"http://moss.stanford.edu/results/781444417/match115.html","./data/GerHobbelt_3616279.html","0","./data/john-guerra_14c943d8f198d9f3fef2.html","8","7"
"http://moss.stanford.edu/results/781444417/match116.html","./data/mbostock_1300016.html","95","./data/mbostock_bb09af4c39c79cffcde4.html","95","10"
"http://moss.stanford.edu/results/781444417/match117.html","./data/mbostock_3305937.html","9","./data/sdbernard_2e44bd82c9d048b88451.html","1","5"
"http://moss.stanford.edu/results/781444417/match118.html","./data/fabid_8b6a0277075d770f088a.html","5","./data/sdbernard_2e44bd82c9d048b88451.html","1","10"
"http://moss.stanford.edu/results/781444417/match119.html","./data/fabid_8b6a0277075d770f088a.html","5","./data/mbostock_3305937.html","9","10"
"http://moss.stanford.edu/results/781444417/match120.html","./data/Rico3734_fa14dff4959ccb0886a9.html","17","./data/sdbernard_2e44bd82c9d048b88451.html","1","5"
"http://moss.stanford.edu/results/781444417/match121.html","./data/Rico3734_fa14dff4959ccb0886a9.html","17","./data/fabid_8b6a0277075d770f088a.html","5","10"
"http://moss.stanford.edu/results/781444417/match122.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","15","./data/sdbernard_2e44bd82c9d048b88451.html","1","5"
"http://moss.stanford.edu/results/781444417/match123.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","15","./data/fabid_8b6a0277075d770f088a.html","5","10"
"http://moss.stanford.edu/results/781444417/match124.html","./data/emeeks_a726210cbc439b969f02.html","5","./data/ericcitaire_5408146.html","8","5"
"http://moss.stanford.edu/results/781444417/match125.html","./data/emeeks_37c28b6ff0e01f69b4cd.html","6","./data/ericcitaire_5408146.html","8","5"
"http://moss.stanford.edu/results/781444417/match126.html","./data/emeeks_0d69f4a8c717d5548977.html","5","./data/ericcitaire_5408146.html","8","5"
"http://moss.stanford.edu/results/781444417/match127.html","./data/mnorelli_424d88139e12d754233733dc78d11ae1.html","6","./data/tmcw_4444952.html","9","7"
"http://moss.stanford.edu/results/781444417/match128.html","./data/georules_3de02f81f42ec5486a34.html","17","./data/tmcw_41137d930284600d3134.html","15","7"
"http://moss.stanford.edu/results/781444417/match129.html","./data/enjalot_27969219a945e2bd20dc.html","2","./data/tmcw_41137d930284600d3134.html","15","8"
"http://moss.stanford.edu/results/781444417/match130.html","./data/enjalot_27969219a945e2bd20dc.html","2","./data/georules_3de02f81f42ec5486a34.html","17","8"
